dataset	dataset_id	latex_id	valid	source	category	localisation	verification
Religion_and_belief_systems	D_1_L1	$\mathtt{D_{1\_L1}}$	TRUE	WIKI	L1	TRUE	TRUE
Religion_and_belief_systems__Allah	D_1_L2	$\mathtt{D_{1\_L2}}$	TRUE	WIKI	L2	TRUE	TRUE
nlin_l1	D_2_L1	$\mathtt{D_{2\_L1}}$	TRUE	S2ORC	L1	TRUE	TRUE
nlin.PS	D_2_L2	$\mathtt{D_{2\_L2}}$	TRUE	S2ORC	L2	TRUE	TRUE
stat_l1	D_3_L1	$\mathtt{D_{3\_L1}}$	TRUE	S2ORC	L1	TRUE	TRUE
stat.CO	D_3_L2	$\mathtt{D_{3\_L2}}$	TRUE	S2ORC	L2	TRUE	TRUE
History_and_events	D_4_L1	$\mathtt{D_{4\_L1}}$	TRUE	WIKI	L1	TRUE	TRUE
History_and_events__By_continent	D_4_L2	$\mathtt{D_{4\_L2}}$	TRUE	WIKI	L2	TRUE	TRUE
Health_and_fitness	D_5_L1	$\mathtt{D_{5\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Health_and_fitness__Exercise	D_5_L2	$\mathtt{D_{5\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
Natural_and_physical_sciences	D_6_L1	$\mathtt{D_{6\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Natural_and_physical_sciences__Physical_sciences	D_6_L2	$\mathtt{D_{6\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
q-bio_l1	D_7_L1	$\mathtt{D_{7\_L1}}$	TRUE	S2ORC	L1	TRUE	FALSE
q-bio.QM	D_7_L2	$\mathtt{D_{7\_L2}}$	TRUE	S2ORC	L2	TRUE	FALSE
cs_l1	D_8_L1	$\mathtt{D_{8\_L1}}$	TRUE	S2ORC	L1	TRUE	FALSE
cs.AI	D_8_L2	$\mathtt{D_{8\_L2}}$	TRUE	S2ORC	L2	TRUE	FALSE
Culture_and_the_arts	D_9_L1	$\mathtt{D_{9\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Culture_and_the_arts__Culture_and_Humanities	D_9_L2	$\mathtt{D_{9\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
General_referece	D_10_L1	$\mathtt{D_{10\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
General_referece__Further_research_tools_and_topics	D_10_L2	$\mathtt{D_{10\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
Human_activites	D_11_L1	$\mathtt{D_{11\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Human_activites__Human_activities	D_11_L2	$\mathtt{D_{11\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
Mathematics_and_logic	D_12_L1	$\mathtt{D_{12\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Mathematics_and_logic__Mathematics	D_12_L2	$\mathtt{D_{12\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
astro-ph_l1	D_13_L1	$\mathtt{D_{13\_L1}}$	TRUE	S2ORC	L1	TRUE	FALSE
astro-ph.CO	D_13_L2	$\mathtt{D_{13\_L2}}$	TRUE	S2ORC	L2	TRUE	FALSE
cond-mat_l1	D_14_L1	$\mathtt{D_{14\_L1}}$	TRUE	S2ORC	L1	TRUE	FALSE
cond-mat.mtrl-sci	D_14_L1	$\mathtt{D_{14\_L1}}$	TRUE	S2ORC	L2	TRUE	FALSE
math_l1	D_15_L1	$\mathtt{D_{15\_L1}}$	TRUE	S2ORC	L1	TRUE	FALSE
math.NA	D_15_L2	$\mathtt{D_{15\_L2}}$	TRUE	S2ORC	L2	TRUE	FALSE
Philosophy_and_thinking	D_16_L1	$\mathtt{D_{16\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Philosophy_and_thinking__Philosophy	D_16_L2	$\mathtt{D_{16\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
Society_and_social_sciences	D_17_L1	$\mathtt{D_{17\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Society_and_social_sciences__Society	D_17_L2	$\mathtt{D_{17\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE
Technology_and_applied_sciences	D_18_L1	$\mathtt{D_{18\_L1}}$	TRUE	WIKI	L1	TRUE	FALSE
Technology_and_applied_sciences__Agriculture	D_18_L2	$\mathtt{D_{18\_L2}}$	TRUE	WIKI	L2	TRUE	FALSE